name,x,y,zone,kh,kv
ppcond0001,426900,6654790,1,86.4,8.64
ppcond0002,426900,6654830,1,86.4,8.64
ppcond0003,426900,6654870,1,86.4,8.64
ppcond0004,426900,6654890,1,86.4,8.64
ppcond0005,426906.157,6654909.938,1,86.4,8.64
ppcond0006,426940,6654750,1,86.4,8.64
ppcond0007,426940,6654790,1,86.4,8.64
ppcond0008,426940,6654830,1,86.4,8.64
ppcond0009,426940,6654870,1,86.4,8.64
ppcond0010,426940,6654910,1,86.4,8.64
ppcond0011,426960,6654910,1,86.4,8.64
ppcond0012,426960,6654950,1,86.4,8.64
ppcond0013,426980,6654750,1,86.4,8.64
ppcond0014,426980,6654790,1,86.4,8.64
ppcond0015,426980,6654830,1,86.4,8.64
ppcond0016,426980,6654870,1,86.4,8.64
ppcond0017,426980,6654910,1,86.4,8.64
ppcond0018,426980,6654950,1,86.4,8.64
ppcond0019,426980,6654970,1,86.4,8.64
ppcond0020,427000,6654910,1,86.4,8.64
ppcond0021,427000,6654950,1,86.4,8.64
ppcond0022,427000,6654990,1,86.4,8.64
ppcond0023,427020,6654750,1,86.4,8.64
ppcond0024,427020,6654790,1,86.4,8.64
ppcond0025,427020,6654830,1,86.4,8.64
ppcond0026,427020,6654870,1,86.4,8.64
ppcond0027,427020,6654910,1,86.4,8.64
ppcond0028,427020,6654950,1,86.4,8.64
ppcond0029,427020,6654970,1,86.4,8.64
ppcond0030,427040,6654910,1,86.4,8.64
ppcond0031,427040,6654990,1,86.4,8.64
ppcond0032,427040,6655030,1,86.4,8.64
ppcond0033,427060,6654750,1,86.4,8.64
ppcond0034,427060,6654790,1,86.4,8.64
ppcond0035,427060,6654830,1,86.4,8.64
ppcond0036,427060,6654870,1,86.4,8.64
ppcond0037,427060,6654910,1,86.4,8.64
ppcond0038,427060,6654970,1,86.4,8.64
ppcond0039,427080,6654930,1,86.4,8.64
ppcond0040,427080,6654990,1,86.4,8.64
ppcond0041,427080,6655030,1,86.4,8.64
ppcond0042,427100,6654750,1,86.4,8.64
ppcond0043,427100,6654790,1,86.4,8.64
ppcond0044,427100,6654830,1,86.4,8.64
ppcond0045,427100,6654870,1,86.4,8.64
ppcond0046,427100,6654910,1,86.4,8.64
ppcond0047,427100,6654930,1,86.4,8.64
ppcond0048,427100,6654970,1,86.4,8.64
ppcond0049,427453.2856,6655146.7,1,86.4,8.64
ppcond0050,427120,6654930,1,86.4,8.64
ppcond0051,427120,6654970,1,86.4,8.64
ppcond0052,427120,6654990,1,86.4,8.64
ppcond0053,427120,6655030,1,86.4,8.64
ppcond0054,427140,6654750,1,86.4,8.64
ppcond0055,427140,6654790,1,86.4,8.64
ppcond0056,427140,6654830,1,86.4,8.64
ppcond0057,427140,6654870,1,86.4,8.64
ppcond0058,427140,6654910,1,86.4,8.64
ppcond0059,427140,6654930,1,86.4,8.64
ppcond0060,427140,6654970,1,86.4,8.64
ppcond0061,427160,6654930,1,86.4,8.64
ppcond0062,427160,6654970,1,86.4,8.64
ppcond0063,427160,6654990,1,86.4,8.64
ppcond0064,427160,6655010,1,86.4,8.64
ppcond0065,427160,6655050,1,86.4,8.64
ppcond0066,427180,6654750,1,86.4,8.64
ppcond0067,427180.6615,6654778.599,1,86.4,8.64
ppcond0068,427180,6654810,1,86.4,8.64
ppcond0069,427180,6654850,1,86.4,8.64
ppcond0070,427180,6654910,1,86.4,8.64
ppcond0071,427180,6654970,1,86.4,8.64
ppcond0072,427472.3393,6655011.661,1,86.4,8.64
ppcond0073,427200,6654890,1,86.4,8.64
ppcond0074,427200,6654910,1,86.4,8.64
ppcond0075,427200,6654970,1,86.4,8.64
ppcond0076,427200,6654990,1,86.4,8.64
ppcond0077,427200,6655010,1,86.4,8.64
ppcond0078,427467.2777,6655008.939,1,86.4,8.64
ppcond0079,427200,6655050,1,86.4,8.64
ppcond0080,427473.1729,6655027.162,1,86.4,8.64
ppcond0081,427200,6655090,1,86.4,8.64
ppcond0082,427220,6654750,1,86.4,8.64
ppcond0083,427219.3385,6654777.938,1,86.4,8.64
ppcond0084,427220,6654810,1,86.4,8.64
ppcond0085,427220,6654850,1,86.4,8.64
ppcond0086,427220,6654890,1,86.4,8.64
ppcond0087,427224.3656,6654952.778,1,86.4,8.64
ppcond0088,427220,6654970,1,86.4,8.64
ppcond0089,427451.6432,6655158.564,1,86.4,8.64
ppcond0090,427456.074,6655004.495,1,86.4,8.64
ppcond0091,427448.2026,6654997.19,1,86.4,8.64
ppcond0092,427442.7588,6655120.983,1,86.4,8.64
ppcond0093,427429.7887,6655163.031,1,86.4,8.64
ppcond0094,427462.4791,6655002.373,1,86.4,8.64
ppcond0095,427240,6654890,1,86.4,8.64
ppcond0096,427240,6654950,1,86.4,8.64
ppcond0097,427240,6654970,1,86.4,8.64
ppcond0098,427240,6654990,1,86.4,8.64
ppcond0099,427240,6655010,1,86.4,8.64
ppcond0100,427456.8744,6655121.982,1,86.4,8.64
ppcond0101,427240,6655050,1,86.4,8.64
ppcond0102,427408.2779,6654955.973,1,86.4,8.64
ppcond0103,427240,6655090,1,86.4,8.64
ppcond0104,427452.3583,6654982.148,1,86.4,8.64
ppcond0105,427240,6655130,1,86.4,8.64
ppcond0106,427260,6654750,1,86.4,8.64
ppcond0107,427259.3385,6654777.938,1,86.4,8.64
ppcond0108,427260,6654810,1,86.4,8.64
ppcond0109,427260,6654850,1,86.4,8.64
ppcond0110,427260,6654890,1,86.4,8.64
ppcond0111,427260,6654950,1,86.4,8.64
ppcond0112,427260,6654970,1,86.4,8.64
ppcond0113,427260,6654990,1,86.4,8.64
ppcond0114,427449.5743,6655163.856,1,86.4,8.64
ppcond0115,427479.5203,6655040.953,1,86.4,8.64
ppcond0116,427405.3343,6654945.293,1,86.4,8.64
ppcond0117,427452.3111,6654989.384,1,86.4,8.64
ppcond0118,427460.209,6654997.041,1,86.4,8.64
ppcond0119,427464.2042,6654990.979,1,86.4,8.64
ppcond0120,427442.1114,6654999.073,1,86.4,8.64
ppcond0121,427446.0822,6655185.288,1,86.4,8.64
ppcond0122,427280,6654890,1,86.4,8.64
ppcond0123,427280,6654910,1,86.4,8.64
ppcond0124,427280,6654990,1,86.4,8.64
ppcond0125,427280,6655010,1,86.4,8.64
ppcond0126,427462.1531,6654986.115,1,86.4,8.64
ppcond0127,427280,6655050,1,86.4,8.64
ppcond0128,427460.2503,6655163.01,1,86.4,8.64
ppcond0129,427280,6655090,1,86.4,8.64
ppcond0130,427474.4592,6655015.896,1,86.4,8.64
ppcond0131,427280,6655130,1,86.4,8.64
ppcond0132,427457.8136,6655159.763,1,86.4,8.64
ppcond0133,427280,6655170,1,86.4,8.64
ppcond0134,427300,6654750,1,86.4,8.64
ppcond0135,427299.3385,6654777.938,1,86.4,8.64
ppcond0136,427300,6654810,1,86.4,8.64
ppcond0137,427300,6654850,1,86.4,8.64
ppcond0138,427300,6654890,1,86.4,8.64
ppcond0139,427300,6654910,1,86.4,8.64
ppcond0140,427300,6654930,1,86.4,8.64
ppcond0141,427439.2906,6655139.97,1,86.4,8.64
ppcond0142,427451.7451,6655187.965,1,86.4,8.64
ppcond0143,427466.492,6655182.324,1,86.4,8.64
ppcond0144,427358.4793,6655081.783,1,86.4,8.64
ppcond0145,427449.0992,6655173.551,1,86.4,8.64
ppcond0146,427469.6045,6655146.257,1,86.4,8.64
ppcond0147,427463.9821,6655137.483,1,86.4,8.64
ppcond0148,427447.1016,6655192.832,1,86.4,8.64
ppcond0149,427463.4731,6655154.268,1,86.4,8.64
ppcond0150,427320,6654890,1,86.4,8.64
ppcond0151,427320,6654910,1,86.4,8.64
ppcond0152,427320,6654930,1,86.4,8.64
ppcond0153,427320,6654950,1,86.4,8.64
ppcond0154,427320,6655030,1,86.4,8.64
ppcond0155,427320,6655050,1,86.4,8.64
ppcond0156,427320,6655070,1,86.4,8.64
ppcond0157,427320,6655090,1,86.4,8.64
ppcond0158,427320,6655130,1,86.4,8.64
ppcond0159,427386.6487,6654945.807,1,86.4,8.64
ppcond0160,427320,6655170,1,86.4,8.64
ppcond0161,427444.5661,6655166.055,1,86.4,8.64
ppcond0162,427320,6655210,1,86.4,8.64
ppcond0163,427340,6654750,1,86.4,8.64
ppcond0164,427340,6654810,1,86.4,8.64
ppcond0165,427340,6654850,1,86.4,8.64
ppcond0166,427340,6654890,1,86.4,8.64
ppcond0167,427340,6654910,1,86.4,8.64
ppcond0168,427340,6654930,1,86.4,8.64
ppcond0169,427340,6655010,1,86.4,8.64
ppcond0170,427340,6655030,1,86.4,8.64
ppcond0171,427340,6655050,1,86.4,8.64
ppcond0172,427340,6655070,1,86.4,8.64
ppcond0173,427340,6655090,1,86.4,8.64
ppcond0174,427451.919,6655142.856,1,86.4,8.64
ppcond0175,427445.9261,6655161.335,1,86.4,8.64
ppcond0176,427459.7771,6655143.698,1,86.4,8.64
ppcond0177,427448.4265,6655152.863,1,86.4,8.64
ppcond0178,427453.2445,6655153.329,1,86.4,8.64
ppcond0179,427360,6654770,1,86.4,8.64
ppcond0180,427360,6654890,1,86.4,8.64
ppcond0181,427360,6654910,1,86.4,8.64
ppcond0182,427361.6933,6654923.015,1,86.4,8.64
ppcond0183,427360,6655010,1,86.4,8.64
ppcond0184,427360,6655030,1,86.4,8.64
ppcond0185,427360,6655050,1,86.4,8.64
ppcond0186,427360,6655070,1,86.4,8.64
ppcond0187,427360,6655090,1,86.4,8.64
ppcond0188,427360,6655110,1,86.4,8.64
ppcond0189,427360,6655130,1,86.4,8.64
ppcond0190,427360,6655170,1,86.4,8.64
ppcond0191,427397.9466,6654914.976,1,86.4,8.64
ppcond0192,427360,6655210,1,86.4,8.64
ppcond0193,427457.6314,6655156.71,1,86.4,8.64
ppcond0194,427360,6655250,1,86.4,8.64
ppcond0195,427380,6654810,1,86.4,8.64
ppcond0196,427380,6654850,1,86.4,8.64
ppcond0197,427380,6654870,1,86.4,8.64
ppcond0198,427380,6654890,1,86.4,8.64
ppcond0199,427380,6654970,1,86.4,8.64
ppcond0200,427380,6654990,1,86.4,8.64
ppcond0201,427380,6655010,1,86.4,8.64
ppcond0202,427380,6655030,1,86.4,8.64
ppcond0203,427380,6655050,1,86.4,8.64
ppcond0204,427380,6655070,1,86.4,8.64
ppcond0205,427380,6655090,1,86.4,8.64
ppcond0206,427380,6655110,1,86.4,8.64
ppcond0207,427472.2075,6655174.119,1,86.4,8.64
ppcond0208,427469.2441,6655156.509,1,86.4,8.64
ppcond0209,427450.4058,6655150.249,1,86.4,8.64
ppcond0210,427447.072,6655156.874,1,86.4,8.64
ppcond0211,427448.8183,6655147.095,1,86.4,8.64
ppcond0212,427432.2553,6655131.972,1,86.4,8.64
ppcond0213,427453.5808,6655155.305,1,86.4,8.64
ppcond0214,427380,6655270,1,86.4,8.64
ppcond0215,427400,6654830,1,86.4,8.64
ppcond0216,427400,6654870,1,86.4,8.64
ppcond0217,427400,6654890,1,86.4,8.64
ppcond0218,427400,6654950,1,86.4,8.64
ppcond0219,427400,6654970,1,86.4,8.64
ppcond0220,427400,6654990,1,86.4,8.64
ppcond0221,427400,6655010,1,86.4,8.64
ppcond0222,427400,6655030,1,86.4,8.64
ppcond0223,427400,6655050,1,86.4,8.64
ppcond0224,427400,6655070,1,86.4,8.64
ppcond0225,427400,6655090,1,86.4,8.64
ppcond0226,427400,6655110,1,86.4,8.64
ppcond0227,427400,6655130,1,86.4,8.64
ppcond0228,427400,6655150,1,86.4,8.64
ppcond0229,427400,6655170,1,86.4,8.64
ppcond0230,427400,6655190,1,86.4,8.64
ppcond0231,427400,6655210,1,86.4,8.64
ppcond0232,427399.2062,6655242.7,1,86.4,8.64
ppcond0233,427420,6654830,1,86.4,8.64
ppcond0234,427420,6654850,1,86.4,8.64
ppcond0235,427420,6654870,1,86.4,8.64
ppcond0236,427420,6654930,1,86.4,8.64
ppcond0237,427420,6654950,1,86.4,8.64
ppcond0238,427420,6654970,1,86.4,8.64
ppcond0239,427420,6654990,1,86.4,8.64
ppcond0240,427420,6655010,1,86.4,8.64
ppcond0241,427420,6655030,1,86.4,8.64
ppcond0242,427420,6655050,1,86.4,8.64
ppcond0243,427420,6655070,1,86.4,8.64
ppcond0244,427420,6655090,1,86.4,8.64
ppcond0245,427420,6655110,1,86.4,8.64
ppcond0246,427420,6655130,1,86.4,8.64
ppcond0247,427420,6655150,1,86.4,8.64
ppcond0248,427420,6655170,1,86.4,8.64
ppcond0249,427420,6655190,1,86.4,8.64
ppcond0250,427420,6655210,1,86.4,8.64
ppcond0251,427451.0886,6655019.127,1,86.4,8.64
ppcond0252,427420,6655270,1,86.4,8.64
ppcond0253,427440,6654850,1,86.4,8.64
ppcond0254,427440,6654870,1,86.4,8.64
ppcond0255,427440,6654930,1,86.4,8.64
ppcond0256,427440,6654950,1,86.4,8.64
ppcond0257,427440,6654970,1,86.4,8.64
ppcond0258,427440,6654990,1,86.4,8.64
ppcond0259,427440,6655010,1,86.4,8.64
ppcond0260,427440,6655030,1,86.4,8.64
ppcond0261,427440,6655050,1,86.4,8.64
ppcond0262,427440,6655070,1,86.4,8.64
ppcond0263,427440,6655090,1,86.4,8.64
ppcond0264,427440,6655110,1,86.4,8.64
ppcond0265,427440,6655130,1,86.4,8.64
ppcond0266,427440,6655150,1,86.4,8.64
ppcond0267,427440,6655170,1,86.4,8.64
ppcond0268,427440,6655190,1,86.4,8.64
ppcond0269,427440,6655210,1,86.4,8.64
ppcond0270,427440,6655230,1,86.4,8.64
ppcond0271,427440,6655250,1,86.4,8.64
ppcond0272,427464.7121,6655019.915,1,86.4,8.64
ppcond0273,427460,6654850,1,86.4,8.64
ppcond0274,427460,6654870,1,86.4,8.64
ppcond0275,427460,6654950,1,86.4,8.64
ppcond0276,427460,6654970,1,86.4,8.64
ppcond0277,427457.8833,6654991.058,1,86.4,8.64
ppcond0278,427460,6655010,1,86.4,8.64
ppcond0279,427460,6655030,1,86.4,8.64
ppcond0280,427460,6655050,1,86.4,8.64
ppcond0281,427460,6655070,1,86.4,8.64
ppcond0282,427460,6655090,1,86.4,8.64
ppcond0283,427460,6655110,1,86.4,8.64
ppcond0284,427460,6655130,1,86.4,8.64
ppcond0285,427460,6655150,1,86.4,8.64
ppcond0286,427460,6655170,1,86.4,8.64
ppcond0287,427460,6655190,1,86.4,8.64
ppcond0288,427460,6655210,1,86.4,8.64
ppcond0289,427460,6655230,1,86.4,8.64
ppcond0290,427460,6655250,1,86.4,8.64
ppcond0291,427460,6655270,1,86.4,8.64
ppcond0292,427480,6654870,1,86.4,8.64
ppcond0293,427480,6654890,1,86.4,8.64
ppcond0294,427480,6654990,1,86.4,8.64
ppcond0295,427480,6655030,1,86.4,8.64
ppcond0296,427480,6655050,1,86.4,8.64
ppcond0297,427480,6655070,1,86.4,8.64
ppcond0298,427480,6655090,1,86.4,8.64
ppcond0299,427480,6655110,1,86.4,8.64
ppcond0300,427480,6655130,1,86.4,8.64
ppcond0301,427480,6655150,1,86.4,8.64
ppcond0302,427480,6655170,1,86.4,8.64
ppcond0303,427480,6655190,1,86.4,8.64
ppcond0304,427480,6655210,1,86.4,8.64
ppcond0305,427480,6655230,1,86.4,8.64
ppcond0306,427480,6655250,1,86.4,8.64
ppcond0307,427480,6655270,1,86.4,8.64
ppcond0308,427500,6654890,1,86.4,8.64
ppcond0309,427500,6654910,1,86.4,8.64
ppcond0310,427500,6654930,1,86.4,8.64
ppcond0311,427500,6655070,1,86.4,8.64
