oul_no,station_no,station_name,datetime_placed,datetime_collected,flourescein_conc_ppb,eosine_conc_ppb,rwt_conc_ppb,srb_conc_ppb,monitoring_round,exposure_time_days,comments
C1656,3, NI15-01,2017-02-28 14:20,2017-04-03 15:45,,,,,ROUND 6,34,
C1657,4, TILL0B,2017-02-27 15:15,2017-04-03 15:10,,9.58,,5.26,ROUND 6,35,
C1658,5, NI16-08,2017-02-27 15:50,2017-04-03 14:50,,9.09,,5.97,ROUND 6,35,
C1659,6, NEDSTROMS NI15-018,2017-02-27 14:30,2017-04-03 14:40,,13.3,,8.82,ROUND 6,35,
C1661,7, NEDSTROMS NI15-047,2017-02-27 14:10,2017-04-03 14:00,,8.95,,6.5,ROUND 6,35,
C1662,8, NI15-020,2017-02-27 13:40,2017-04-03 13:30,,8.93,,5.56,ROUND 6,35,
C1663,9, NI15-048,2017-02-27 13:15,2017-04-03 12:10,,9.21,,6.42,ROUND 6,35,
C1664,10,BETON TROSKEL,2017-02-27 11:30,2017-04-03 11:30,,10.5,,7.53,ROUND 6,35,
C1665,11, SO NEDSTROMS-RECIPIENT,2017-02-28 08:30,2017-04-03 10:55,,3.06,,,ROUND 6,34,
C1666,14, NI1501:2,2017-02-28 14:20,2017-04-04 11:15,,,5390,,ROUND 6,35,
C1667,18, NI1603,2017-02-25 10:10,2017-04-04 09:30,,,,,ROUND 6,38,
C1668,19, NI15-01,2017-02-28 09:00,2017-04-03 15:40,,,,,ROUND 6,34,
C1670,21, KB4:4,2017-02-28 11:00,2017-04-04 11:00,,,,,ROUND 6,35,
C1671,40, NI-12,2017-02-27 14:46,2017-04-03 15:00,,10.8,,6.82,ROUND 6,35,
C1672,41, KB1:1,2017-02-28 10:20,2017-04-04 15:55,,6.5,,,ROUND 6,35,
C1673,42, KB1:2,2017-02-28 10:30,2017-04-04 08:40,,7020,,,ROUND 6,35,
C1674,49, NI-6,2017-02-28 13:30,2017-04-03 15:55,,,,,ROUND 6,34,
C1675,51, NI1606:1,2017-01-25 09:00,2017-04-04 10:15,,,,,ROUND 6,69,
C1676,54, NI1501:3,2017-02-28 14:10,2017-04-04 11:20,,,,,ROUND 6,35,
C1677,55, NI1501:1,2017-02-28 14:15,2017-04-04 11:25,92.5,,17.7,,ROUND 6,35,
C1678,56, NI16-04,2017-02-28 13:00,2017-04-03 11:55,,,,,ROUND 6,34,
C1679,57, NI16-01,2017-02-27 14:16,2017-04-03 14:15,,,,,ROUND 6,35,
C1681,58, GL-BRUNN,2017-02-28 10:45,2017-04-04 09:00,,,,,ROUND 6,35,
C1682,61, KB4:1,2017-02-28 11:15,2017-04-04 10:40,,,,,ROUND 6,35,
C1683,62, KB4:2,2017-02-28 11:20,2017-04-04 10:45,,,,,ROUND 6,35,
C1684,63, KB4:3,2017-02-28 11:30,2017-04-04 10:50,,,,,ROUND 6,35,
C1685,64, NI15-09,2017-02-27 15:30,2017-04-03 15:30,,12.9,,,ROUND 6,35,
C1687,66, HAGALVEN 2,2017-02-28 08:45,2017-04-03 11:15,,,,,ROUND 6,34,
C1688,67, NI16-020,2017-02-27 13:55,2017-04-03 13:45,,6.3,,3.47,ROUND 6,35,
C1689,68, NI16-021,2017-02-27 13:57,2017-04-03 14:00,,12.7,,8.4,ROUND 6,35,
C1690,69, UPPSTROMS BETONGTROSKEL,2017-02-27 11:45,2017-04-03 11:40,,7.14,,4.41,ROUND 6,35,
C1691,70, HAGALVEN 1,2017-02-28 15:00,2017-04-04 08:20,,,,,ROUND 6,35,
C1692,71, NEDSTROMS NI16-08,2017-02-27 14:32,2017-04-03 14:45,,8.47,,7.09,ROUND 6,35,
C1693,72, UPPSTROMS NI16-01,2017-02-27 14:27,2017-04-03 14:20,,7.64,,7.03,ROUND 6,35,
C1694,76, B2:1,2017-02-28 13:55,2017-04-04 11:30,,,,,ROUND 6,35,
C1695,77, B2:2,2017-02-28 14:05,2017-04-04 11:35,,,,,ROUND 6,35,
C1696,78, B2:3,2017-02-28 14:05,2017-04-04 11:40,,,,,ROUND 6,35,
C1697,79, UPPSTROMS NI15-O48,2017-02-27 13:05,2017-04-03 12:20,,11.4,,11.2,ROUND 6,35,
C1698,80, UPPSTROMS #79 NEDSTROMS NI15-O20,2017-02-27 13:15,2017-04-03 12:30,,15,,14.2,ROUND 6,35,
C1699,81, NEDSTROMS NI16-O20,2017-02-27 13:45,2017-04-03 13:40,,8.93,,7.29,ROUND 6,35,
C1701,82, NI1606:2,2017-01-26 11:30,2017-04-04 10:20,,,,,ROUND 6,68,
C1702,83, NI1606:3,2017-01-26 11:40,2017-04-04 10:30,,,,,ROUND 6,68,
C1703,90, KB1-BRUNN,2017-02-28 10:00,2017-04-04 08:50,,,,,ROUND 6,35,
C1704,91, KB2_BRUNN,2017-02-28 11:00,2017-04-04 09:05,,,,,ROUND 6,35,
C1705,92, KB3-BRUNN,2017-02-28 11:05,2017-04-04 10:40,,,,,ROUND 6,35,
C1706,93, KB4-BRUNN,2017-02-28 11:10,2017-04-04 11:00,,,,,ROUND 6,35,
C2477,1, ORBACK UPSTROM,2017-04-03 10:30,2017-05-09 08:15,,,,,ROUND 7,36,
C2478,2, ORBACK,2017-04-04 08:00,2017-05-10 11:00,,,,,ROUND 7,36,GAC over vandoveflade
C2479,3, NI15-O12,2017-04-03 15:45,2017-05-09 15:30,,,,,ROUND 7,36,
C2481,4, TILL0B,2017-04-03 15:10,2017-05-09 14:40,,5.3,,4.7,ROUND 7,36,
C2482,5, NI16-O8,2017-04-03 14:50,2017-05-09 14:30,,4.42,,4.46,ROUND 7,36,GAC i vandoverflade
C2483,6, NEDSTROMS NI115-O18,2017-04-03 14:40,2017-05-09 13:40,,9.41,,12.2,ROUND 7,36,
C2484,7, NEDSTROMS NI15-O47,2017-04-03 14:00,2017-05-09 13:20,,5.57,,5.92,ROUND 7,36,GAC i vandoverflade
C2485,8, NI15-O20,2017-04-03 13:30,2017-05-09 12:30,,4.04,,4.18,ROUND 7,36,GAC over vandoveflade
C2486,9, NI15-O48,2017-04-03 12:10,2017-05-09 11:00,,6.58,,6.38,ROUND 7,36,GAC over vandoveflade
C2487,10,BETON TROSKEL,2017-04-03 11:30,2017-05-09 10:06,,6.41,,6.33,ROUND 7,36,
C2488,11, SO NEDSTROMS RECIPIENT,2017-04-03 10:55,2017-05-09 08:40,,1.89,,,ROUND 7,36,
C2489,14, NI1501:2,2017-04-04 11:15,2017-05-09 00:00,,,226000,,ROUND 7,35,
C2490,15, NI1405:2,2016-12-06 00:00,2017-05-09 00:00,5.01,,,,ROUND 7,154,
C2491,17, B38:1,2017-01-25 00:00,2017-05-09 00:00,,,,,ROUND 7,104,
C2492,18, NI1603,2017-04-04 09:30,2017-05-09 00:00,,,,,ROUND 7,35,
C2493,19, NI15-012,2017-04-03 15:40,2017-05-09 15:35,,,,,ROUND 7,36,
C2495,21, KB4:4,2017-04-04 11:00,2017-05-09 00:00,,,,,ROUND 7,35,
C2496,23, B36:1,2017-01-24 00:00,2017-05-09 00:00,56.8,452,,,ROUND 7,105,
C2497,38, NI1413:1,2017-01-24 00:00,2017-05-09 00:00,,,,,ROUND 7,105,
C2498,39, NI1413:3,2017-01-24 00:00,2017-05-09 00:00,,,,4240,ROUND 7,105,
C2499,40, NI-12,2017-04-03 15:00,2017-05-09 14:20,,7.28,,6.88,ROUND 7,36,GAC i vandoverflade
C2502,42, KB1:2,2017-04-04 08:40,2017-05-09 00:00,,1520,,24.8,ROUND 7,35,
C2503,47, NI1607:1,2017-01-25 00:00,2017-05-09 00:00,,647,,,ROUND 7,104,
C2504,48, NI1607:3,2017-01-25 00:00,2017-05-09 00:00,,,,,ROUND 7,104,
C2505,49, NI-6,2017-04-03 15:55,2017-05-09 15:40,,,,,ROUND 7,36,
C2506,51, NI1606:1,2017-04-04 10:15,2017-05-09 00:00,,,,,ROUND 7,35,
C2507,52, NI1608:1,2017-01-25 09:00,2017-05-09 00:00,,,,,ROUND 7,104,
C2508,53, NI1608:3,2017-01-25 11:05,2017-05-09 00:00,,,,,ROUND 7,104,
C2509,54, NI1501:3,2017-04-04 11:20,2017-05-09 00:00,,,,,ROUND 7,35,
C2510,55, NI1501:1,2017-04-04 11:25,2017-05-09 00:00,429,,365,,ROUND 7,35,
C2511,56, NI16-04,2017-04-03 11:55,2017-05-09 10:45,,,,,ROUND 7,36,GAC over vandoveflade
C2512,57, NI16-01,2017-04-03 14:15,2017-05-09 13:30,,,,,ROUND 7,36,GAC i vandoverflade
C2513,58, GL-BRUNN,2017-04-04 09:00,2017-05-09 00:00,,,,,ROUND 7,35,
C2514,61, KB4:1,2017-04-04 10:40,2017-05-09 00:00,,,,,ROUND 7,35,
C2515,62, KB4:2,2017-04-04 10:45,2017-05-09 00:00,,,,,ROUND 7,35,
C2516,63, KB4:3,2017-04-04 10:50,2017-05-09 00:00,,,,,ROUND 7,35,
C2517,64, NI15-09,2017-04-03 15:30,2017-05-09 15:20,,2.97,,,ROUND 7,36,
C2519,66, Hagalven 2,2017-04-03 11:15,2017-05-09 10:20,,,,,ROUND 7,36,
C2521,67, NI16-020,2017-04-03 13:45,2017-05-09 13:00,,5.44,,6.88,ROUND 7,36,GAC i vandoverflade
C2522,68, NI16-021,2017-04-03 14:00,2017-05-09 13:10,,5.54,,7.26,ROUND 7,36,GAC i vandoverflade
C2523,69, UPPSTROMS BETONGTROSKEL,2017-04-04 11:40,2017-05-09 10:17,,5.06,,5.33,ROUND 7,35,
C2524,70, HAGALVEN 1,2017-04-03 08:25,2017-05-10 11:30,,,,,ROUND 7,37,
C2525,71, NEDSTROMS NI16-08,2017-04-03 14:45,2017-05-09 14:00,,6.22,,9.53,ROUND 7,36,GAC over vandoveflade
C2526,72, UPPSTROMS NI16-01,2017-04-03 14:20,2017-05-09 13:35,,5.72,,8.01,ROUND 7,36,GAC i vandoverflade
C2527,73, NI1609:1,2017-01-25 12:20,2017-05-09 00:00,,,,,ROUND 7,104,
C2528,74, NI1609:2,2017-01-25 12:50,2017-05-09 00:00,,,,,ROUND 7,104,
C2529,75, NI1609:3,2017-01-25 13:10,2017-05-09 00:00,,,,,ROUND 7,104,
C2530,76, B2:1,2017-04-04 11:30,2017-05-09 00:00,,,,,ROUND 7,35,
C2531,77, B2:2,2017-04-04 11:35,2017-05-09 00:00,,,,,ROUND 7,35,
C2532,78, B2:3,2017-04-04 11:40,2017-05-09 00:00,,,,,ROUND 7,35,
C2533,79,  NI16-O25,2017-04-03 12:20,2017-05-09 11:19,,4.95,,5.83,ROUND 7,36,GAC over vandoveflade
C2534,80, NI15-O38,2017-04-03 12:30,2017-05-09 11:25,,5.3,,6.52,ROUND 7,36,GAC over vandoveflade
C2535,81, NI15-O37,2017-04-03 13:40,2017-05-09 12:40,,6.38,,6.1,ROUND 7,36,GAC i vandoverflade
C2536,82, NI1606:2,2017-04-04 10:20,2017-05-09 00:00,,,,,ROUND 7,35,
C2537,83, NI1606:3,2017-04-04 10:30,2017-05-09 00:00,,,,,ROUND 7,35,
C2538,84, NI1601:1,2017-01-26 00:00,2017-05-09 00:00,,,,0.803,ROUND 7,103,
C2539,85, NI1601:2,2017-01-26 00:00,2017-05-09 00:00,,,,546,ROUND 7,103,
C2541,86, NI1601:3,2017-01-26 00:00,2017-05-09 00:00,,,,4510,ROUND 7,103,
C2542,87, NI1610:1,2017-01-26 00:00,2017-05-09 00:00,,,,,ROUND 7,103,
C2543,88, NI1610:2,2017-01-26 00:00,2017-05-09 00:00,,,,,ROUND 7,103,
C2544,24, B37,2017-02-26 00:00,2017-05-09 09:55,,,,40.7,ROUND 7,72,
C2545,90, KB1-BRUNN,2017-04-04 10:00,2017-05-09 00:00,,,,,ROUND 7,35,
C2546,91, KB2_BRUNN,2017-04-04 11:00,2017-05-09 00:00,,,,,ROUND 7,35,
C2547,92, KB3-BRUNN,2017-04-04 11:05,2017-05-09 00:00,,,,,ROUND 7,35,
C2548,93, KB4-BRUNN,2017-04-04 11:10,2017-05-09 00:00,,,,,ROUND 7,35,
C2549,97, NI1611:1,2017-01-16 00:00,2017-05-09 14:08,,779,,,ROUND 7,113,
C3553,1, orback opstrom (v NI-1),2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3554,2, orback (v NI-4),2017-05-10 00:00,2017-06-21 00:00,,,,,ROUND 8,42,
C3555,3, NI15-O12,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3556,4, Tillob (v NI-10),2017-05-09 00:00,2017-06-21 00:00,,23.4,,22.1,ROUND 8,43,
C3557,5, NI15-O8,2017-05-09 00:00,2017-06-21 00:00,,15.6,,25.4,ROUND 8,43,
C3558,6, Nedstroms NI15-O18,2017-05-09 00:00,2017-06-21 00:00,,11.2,,16.4,ROUND 8,43,
C3559,7, NI16-O22,2017-05-09 00:00,2017-06-21 00:00,,20.7,,29.6,ROUND 8,43,
C3561,8, NI15-O20,2017-05-09 00:00,2017-06-21 00:00,,13.3,,17.6,ROUND 8,43,
C3562,9, NI15-O48,2017-05-09 00:00,2017-06-21 00:00,,15.6,,21.2,ROUND 8,43,
C3563,10, BETON TROSKEL,2017-05-09 00:00,2017-06-21 00:00,,16.4,,27.4,ROUND 8,43,
C3564,11, So nedstroms - recipient,2017-05-09 00:00,2017-06-21 00:00,,3.58,,3.48,ROUND 8,43,
C3565,14, NI1501:2,2017-05-09 00:00,2017-06-22 00:00,,,10600,,ROUND 8,44,
C3566,17, B38:1,2017-05-09 00:00,2017-06-22 00:00,,,,,ROUND 8,44,
C3567,18, NI1603,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3568,19, NI15-O12,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3570,21, KB4:4,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3571,40, NI-12,2017-05-09 00:00,2017-06-21 00:00,,14.4,,23.2,ROUND 8,43,
C3572,41, KB1:1,2017-05-09 00:00,2017-06-21 00:00,,38.8,,,ROUND 8,43,
C3573,42, KB1:2,2017-05-09 00:00,2017-06-21 00:00,,1110,,106,ROUND 8,43,
C3574,47, NI1607:1,2017-05-09 00:00,2017-06-21 00:00,,1240,,,ROUND 8,43,
C3575,48, NI1607:3,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3576,49, NI-6,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3577,51, NI1606:1,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3578,52, NI1608:1,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3579,54, NI1501:3,2017-05-09 00:00,2017-06-22 00:00,,,,,ROUND 8,44,
C3581,55, NI1501:1,2017-05-09 00:00,2017-06-22 00:00,13500,,5020,,ROUND 8,44,
C3582,56, NI16-O4,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3583,57, NI16-O1,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3584,58, GL_BRUNN,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3585,61, KB4:1,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3586,62, KB4:2,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3587,63, KB4:3,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3588,64, NI15-O9,2017-05-09 00:00,2017-06-21 00:00,,11.5,,,ROUND 8,43,
C3590,66, Hagalven 2 ,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3591,67, NI16-O20,2017-05-09 00:00,2017-06-21 00:00,,18.7,,33.5,ROUND 8,43,
C3592,68, NI16-O21,2017-05-09 00:00,2017-06-21 00:00,,18.3,,27.2,ROUND 8,43,
C3593,69, uppstroms betontroskel,2017-05-09 00:00,2017-06-21 00:00,,16.3,,27.2,ROUND 8,43,
C3594,70, Hagalven 1,2017-05-10 00:00,2017-06-22 00:00,,,,,ROUND 8,43,
C3595,71, nedstroms NI16-O8,2017-05-09 00:00,2017-06-21 00:00,,19.9,,31.7,ROUND 8,43,
C3596,72, uppstroms NI16-O1,2017-05-09 00:00,2017-06-21 00:00,,13.5,,25.1,ROUND 8,43,
C3597,76, B2:1,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3598,77, B2:2,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3599,78, B2:3,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3601,79, NI16-O6,2017-05-09 00:00,2017-06-21 00:00,,19.4,,31.1,ROUND 8,43,
C3602,80, NI15-O38,2017-05-09 00:00,2017-06-21 00:00,,17.5,,24.2,ROUND 8,43,
C3603,81, NI15-O37,2017-05-09 00:00,2017-06-21 00:00,,18.5,,30.5,ROUND 8,43,
C3604,82, NI1606:2,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3605,83, NI1606:3,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3606,84, NI1601:1,2017-05-09 00:00,2017-06-22 00:00,,,,,ROUND 8,44,
C3607,85, NI1601:2,2017-05-09 00:00,2017-06-22 00:00,,,,14.3,ROUND 8,44,
C3608,86, NI1601:3,2017-05-09 00:00,2017-06-22 00:00,,,,4040,ROUND 8,44,
C3609,90, KB1_brunn,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3610,91, KB2_brunn,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3611,92, KB3_brunn,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3612,93, KB4_brunn,2017-05-09 00:00,2017-06-21 00:00,,,,,ROUND 8,43,
C3613,97, NI1611:1,2017-05-09 00:00,2017-06-21 00:00,,952,,,ROUND 8,43,
C4371,1, ORBACK OPSTROM (VNI-1),2017-06-21 00:00,2017-08-03 00:00,,,,,ROUND 9,43,
C4372,2, ORBACK (VNI-4),2017-06-21 00:00,2017-08-03 00:00,,,,,ROUND 9,43,
C4374,4, TILLOB (VNI-10),2017-06-21 00:00,2017-08-03 00:00,,20.1,,31.7,ROUND 9,43,
C4375,5, NI16-O8,2017-06-21 00:00,2017-08-03 00:00,,21.4,,54.5,ROUND 9,43,
C4376,6, NEDSTROMS NI15-O18,2017-06-21 00:00,2017-08-03 00:00,,1.75,,5.28,ROUND 9,43,
C4377,7, NI16-O22,2017-06-21 00:00,2017-08-03 00:00,,24.2,,71.5,ROUND 9,43,
C4378,8, NI15-O20,2017-06-21 00:00,2017-08-03 00:00,,17.3,,49.5,ROUND 9,43,
C4379,9, NI15-O48,2017-06-21 00:00,2017-08-03 00:00,,18,,48,ROUND 9,43,
C4381,10, BETONGTROSKEL,2017-06-21 00:00,2017-08-03 00:00,,12.2,,34.7,ROUND 9,43,
C4382,11, SO NEDSTROMS - RECIPIENT,2017-06-21 00:00,2017-08-03 00:00,,,,1.1,ROUND 9,43,
C4383,14, NI1501:2,2017-06-21 00:00,2017-08-03 00:00,,,4760,,ROUND 9,43,
C4384,21, KB4:4,2017-06-22 00:00,2017-08-03 00:00,,,,,ROUND 9,42,
C4385,40, NI-12,2017-06-21 00:00,2017-08-03 00:00,,21.1,,48.2,ROUND 9,43,
C4386,19, NI15-O12,2017-06-21 00:00,2017-08-03 00:00,,,,,ROUND 9,43,
C4387,20, NI15-Ö45,2017-06-21 00:00,2017-08-03 00:00,,,,20.1,ROUND 9,43,
C4388,41, KB1:1,2017-06-21 00:00,2017-08-03 00:00,,315,,,ROUND 9,43,
C4389,42, KB1:2,2017-06-21 00:00,2017-08-03 00:00,,436,,169,ROUND 9,43,
C4390,47, NI1607:1,2017-06-21 00:00,2017-08-04 00:00,,3440,,,ROUND 9,44,
C4391,48, NI1607:3,2017-06-21 00:00,2017-08-04 00:00,,,,,ROUND 9,44,
C4392,49, NI-6,2017-06-21 00:00,2017-08-03 00:00,,,,,ROUND 9,43,
C4394,55, NI1501:1,2017-06-22 00:00,2017-08-03 00:00,13400,,3180,,ROUND 9,42,
C4395,56, NI16-O4,2017-06-21 00:00,2017-08-03 00:00,,,,,ROUND 9,43,
C4396,57, NI16-O1,2017-06-21 00:00,2017-08-03 00:00,,,,,ROUND 9,43,
C4397,61, KB4:1,2017-06-21 00:00,2017-08-03 00:00,,,,,ROUND 9,43,
C4398,62, KB4:2,2017-06-21 00:00,2017-08-03 00:00,,,,,ROUND 9,43,
C4399,63, KB4:3,2017-06-21 00:00,2017-08-03 00:00,,,,,ROUND 9,43,
C4401,64, NI15-O9,2017-06-21 00:00,2017-08-03 00:00,,14.1,,2.45,ROUND 9,43,
C4402,65, NI15-O45,2017-06-21 00:00,2017-08-03 00:00,,25.4,,38.5,ROUND 9,43,
C4403,66, HAGALVEN 2,2017-06-21 00:00,2017-08-03 00:00,,,,,ROUND 9,43,
C4404,67, NI16-O20,2017-06-21 00:00,2017-08-03 00:00,,28.5,,60.7,ROUND 9,43,
C4405,68, NI16-O21,2017-06-21 00:00,2017-08-03 00:00,,23.9,,53,ROUND 9,43,
C4406,69, UPPSTROMS BETONGTROSKEL,2017-06-21 00:00,2017-08-03 00:00,,23.1,,61.3,ROUND 9,43,
C4407,70, HAGALVEN 1,2017-06-22 00:00,2017-08-03 00:00,,,,,ROUND 9,42,
C4408,71, NEDSTROMS NI16-O8,2017-06-21 00:00,2017-08-03 00:00,,23.6,,63,ROUND 9,43,
C4409,72, UPPSTROMS NI16-O1,2017-06-21 00:00,2017-08-03 00:00,,8.8,,27.7,ROUND 9,43,
C4410,76, B2:1,2017-06-21 00:00,2017-08-03 00:00,,,,,ROUND 9,43,
C4411,77, B2:2,2017-06-21 00:00,2017-08-03 00:00,,,,,ROUND 9,43,
C4412,78, B2:3,2017-06-21 00:00,2017-08-03 00:00,,,,,ROUND 9,43,
C4413,79, NI16-O6,2017-06-21 00:00,2017-08-03 00:00,,21.5,,53.2,ROUND 9,43,
C4414,80, NI15-O38,2017-06-21 00:00,2017-08-03 00:00,,20.6,,65.4,ROUND 9,43,
C4415,81, NI15-O37,2017-06-21 00:00,2017-08-03 00:00,,20.1,,57.2,ROUND 9,43,
C4416,90, KB1-BRUNN,2017-06-21 00:00,2017-08-04 00:00,,,,,ROUND 9,44,
C4417,91, KB2_BRUNN,2017-06-21 00:00,2017-08-04 00:00,,,,,ROUND 9,44,
C4418,92, KB3-BRUNN,2017-06-21 00:00,2017-08-04 00:00,,,,,ROUND 9,44,
C4419,93, KB4-BRUNN,2017-06-21 00:00,2017-08-04 00:00,,,,,ROUND 9,44,
C5285,1, orback opstroms (v NI-1),2017-08-03 00:00,2017-09-12 00:00,,,,,ROUND 10,40,
C5286,2, orback (v NI-4),2017-08-03 00:00,2017-09-13 00:00,,,,,ROUND 10,41,
C5287,3, NI15-O12,2017-08-03 00:00,2017-09-12 00:00,,2.03,,,ROUND 10,40,
C5288,4, Tillob (v NI-10),2017-08-03 00:00,2017-09-12 00:00,,5.22,,9.96,ROUND 10,40,
C5289,5, NI16-O8,2017-08-03 00:00,2017-09-12 00:00,,5.74,,16.8,ROUND 10,40,
C5290,6, Nedstroms NI15-O18,2017-08-03 00:00,2017-09-12 00:00,,1.73,,4.46,ROUND 10,40,
C5291,7, NI16-O22,2017-08-03 00:00,2017-09-12 00:00,,9.3,,30.5,ROUND 10,40,
C5292,8, NI15-O20,2017-08-03 00:00,2017-09-12 00:00,,3.68,,13.7,ROUND 10,40,
C5293,9, NI15-O48,2017-08-03 00:00,2017-09-12 00:00,,6.09,,17.6,ROUND 10,40,
C5294,10, BETON TROSKEL,2017-08-03 00:00,2017-09-12 00:00,,8.47,,23.5,ROUND 10,40,
C5295,11, So nedstroms-recipient,2017-08-03 00:00,2017-09-12 00:00,,,,,ROUND 10,40,
C5296,14, NI1501:2,2017-08-03 00:00,2017-09-12 00:00,,,17600,,ROUND 10,40,
C5297,17, B38:1,2017-06-22 00:00,2017-09-12 00:00,,,,,ROUND 10,82,
C5298,18, NI1603,2017-06-22 00:00,2017-09-13 00:00,,,,,ROUND 10,83,
C5299,19, NI15-O12,2017-08-03 00:00,2017-09-12 00:00,,,,,ROUND 10,40,
C5301,20, NI15-Ö45,2017-08-03 00:00,2017-09-12 00:00,,,,2.29,ROUND 10,40,
C5302,21, KB4:4,2017-08-03 00:00,2017-09-13 00:00,,,,,ROUND 10,41,
C5303,23, B36:1,2017-05-09 00:00,2017-09-13 00:00,49,83.1,,,ROUND 10,127,
C5304,24, B37,2017-06-24 00:00,2017-09-13 00:00,,,,55.7,ROUND 10,81,
C5305,40, NI-12,2017-06-21 00:00,2017-09-12 00:00,,4.45,,8.23,ROUND 10,83,
C5306,41, KB1:1,2017-08-03 00:00,2017-09-13 00:00,,14.9,,,ROUND 10,41,
C5307,42, KB1:2,2017-08-03 00:00,2017-09-13 00:00,,281,,140,ROUND 10,41,
C5308,47, NI1607:1,2017-08-04 00:00,2017-09-12 00:00,,820,,19.9,ROUND 10,39,
C5309,48, NI1607:3,2017-08-04 00:00,2017-09-12 00:00,,,,,ROUND 10,39,
C5310,49, NI-6,2017-08-03 00:00,2017-09-12 00:00,,,,,ROUND 10,40,
